Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2018,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",39.9,34.8,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,37.3
2019,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",39.2,33.5,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,36.3
2020,0,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.5,32.3,35.3
2000,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7471.9,6725.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,7102.3
2001,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7517.7,6789,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,7155.9
2002,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7485.9,6775.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,7132.5
2003,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7413.7,6711.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,7063.8
2004,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7321.9,6612.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6968.0
2005,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7235.1,6506.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6871.1
2006,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7121,6375.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6747.8
2007,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",7007.2,6253.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6629.5
2008,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6901,6152.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6525.6
2009,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6805.7,6076.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6439.3
2010,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6722.2,6022.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6370.5
2011,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6638.1,5976.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6305.3
2012,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6582.1,5957.1,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6267.6
2013,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6546.6,5949.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6246.0
2014,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6524.1,5935.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6227.8
2015,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6510.2,5903.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6204.3
2016,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6530.2,5871,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6197.5
2017,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6524.6,5787.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6152.0
2018,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6511.8,5679.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6089.8
2019,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",6489.8,5551.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,6012.7
2020,3,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",6470.2,5421.8,5935.5
