Year,COMMENT_OBS,Composite breakdown,Observation-level footnotes,Value
2018,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",33.8
2019,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",56.7
2000,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",1.5
2001,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.1
2002,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",1.08
2004,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.05
2005,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.08
2008,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.02
2012,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.03
2013,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.07
2014,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.01
2015,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",24.94
2016,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.0
2019,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Bioenergy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.0
2004,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.06
2005,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.07
2010,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.59
2014,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",190.88
2015,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",11.71
2017,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",16.97
2018,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.1
2019,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Geothermal energy,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.0
2001,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.69
2002,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",111.2
2003,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",7.79
2004,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.34
2005,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",364.61
2006,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.07
2007,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",185.9
2008,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.3
2009,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",4208.42
2010,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.25
2014,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",460.82
2015,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",262.57
2017,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.01
2019,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Hydropower,"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.0
2002,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",93.17
2006,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.35
2007,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",18.25
2009,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",20.9
2010,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",88.19
2011,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.03
2012,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",53.96
2013,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.65
2014,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",3.13
2015,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",1.42
2016,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",49.16
2017,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",117.66
2018,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",21.32
2019,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Multiple renewables,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",2.31
2010,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",3.34
2011,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.66
2014,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.5
2015,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.04
2016,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.64
2017,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.28
2018,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",11.09
2019,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Solar energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",2.08
2004,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.2
2005,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.11
2009,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",55.04
2011,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",108.89
2013,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",292.12
2016,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",4.3
2017,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",226.34
2018,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",1.29
2019,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",Type of renewable technology: Wind energy,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",52.3
