Year,COMMENT_OBS,SDG Series,Sex,Age,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2021,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Defence,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Defence,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Foreign Affairs,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Foreign Affairs,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Gender Equality,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Gender Equality,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Human Rights,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Human Rights,Number,"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,46 years old and over,Parliamentary committee: Finance,Number,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,46 years old and over,Parliamentary committee: Finance,Number,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  ","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,,,Ratio,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.76778
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,,,Ratio,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.82191
2021,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,,,Ratio,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.63283
2022,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,,,Ratio,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.60377
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",Male,46 years old and over,,Number,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",Male,under 46 years old,,Number,"Bicameral: Upper chamber (House of the Federation), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election ",313.0
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election ","Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election ",313.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election","Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,Percent,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election",63.62
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election","Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,Percent,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year, based on available age data collected after each election",63.62
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows: ","Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,Ratio,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ",0.84378
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ","Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,under 46 years old,,Ratio,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division - World Population Prospects to calculate ratios; the ratio can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament ",0.84378
