Value,Disaggregation combinations using this value,Number of indicators
"City: Awassa; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Bahir Dar; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Bahir Dar; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Dire Dawa; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Dire Dawa; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Gondar; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Gondar; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Harar; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Harar; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",1,1
"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",7,1
"Commitments;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",1,1
"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5,5
Consolidated Central Government Expenditure Excluding Social Security Funds,2,1
Cumulative value.,1,1
Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,2,1
"data provided by WB Economists, MOF .",1,1
Definition includes other cadres that is not in alignment with the standard definition,1,1
Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,12,6
Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,40,6
Documented rights are issued either indivdiually or jointly. Total population is restricted to household head and wife due to data limitations.,1,1
"Due to the exceptional circumstances of the COVID-19 pandemic, WHO has published an updated the second edition of the IHR State Parties Self-Assessment Tool in December 2021 based on the first edition published in July 2018. SPAR questionaires for IHR Annual reporting are also updated and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )",15,1
Estimate based on 2017 report.,1,1
Estimate based on 2019 report.,1,1
Estimate based on the acquisition date of each conserved accession as reported in 2014.,1,1
Estimates are based on projected values,2,1
Ethiopian Human Rights Commission ,2,1
FAO estimate,6,1
"Figure is a modelled estimate. For primary sources, please refer to the metadata.",75,2
"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",1,1
"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",1,1
"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5,5
"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",1,1
"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",1,1
Medium Confidence,1,1
"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1,1
"Obs_Value = 0;  Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year",2,1
"Obs_Value = 0;  Bicameral: Upper chamber (House of the Federation), No Committee, Data valid as of 1 Jan of given year",4,1
"Obs_Value = 0;  Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",3,1
Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,9,6
Obs_Value = 0;  Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.,41,6
Obs_Value = 0;  Ethiopia can’t provide the information required because has not started compiling TSA-Ethiopia.,2,1
Obs_Value = 0;  FAO estimate,1,1
Obs_Value = 0;  No unemployment protection programme anchored in national legislation,3,1
Obs_Value = 0;  Observation values: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",2,1
"Obs_Value = 0;  Out of 72 local breeds, 83% are of unknown status",1,1
"Obs_Value = 0;  Out of 72 local breeds, 88% are of unknown status",1,1
"Obs_Value = 0;  Out of 8 local breeds, 0% are of unknown status",1,1
"Obs_Value = 0;  Out of 8 local breeds, 38% are of unknown status",1,1
Obs_Value = 0;  Responses to a set of key questons have been included in this dataset. ,2,1
Obs_Value = 0;  This data point is NIL for the submitting nation.,22,2
Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,503,2
Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,3,1
Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,4,2
Obs_Value = 0;  ,40,11
Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2,1
Observation value: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
Observation values: 10 = Clearly defined procedures; 5 = Not clearly defined  procedures; 0 = Not applicable.,2,1
Observation values: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
Official country report to FAO (FRA 2020),6,2
"Out of 60 local breeds, 87% are of unknown status",1,1
"Out of 63 local breeds, 83% are of unknown status",1,1
"Out of 72 local breeds, 72% are of unknown status",1,1
"Out of 72 local breeds, 79% are of unknown status",1,1
"Out of 73 local breeds, 97% are of unknown status",2,1
"Out of 74 local breeds, 96% are of unknown status",2,1
"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",2,1
"Out of 9 local breeds, 11% are of unknown status",1,1
Partial data,1,1
"Parties  refers to Parties to the Convention on Biological Diversity that have ratified, accepted, approved or acceded the Nagoya Protocol, including those for which the Protocol has not yet entered into force following the 90 days period set out in Artic",1,1
PEFA 2010 Ethiopia  Report / Public- www.pefa.org. (https://pefa.org/node/2721).,1,1
PEFA 2015 Ethiopia  Report / Public- www.pefa.org. (https://pefa.org/node/1321).,1,1
"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested.",1,1
Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,1,1
Reference to Target 9 was a requirement,1,1
Responses to a set of key questons have been included in this dataset. ,2,1
"Source: FDRE, 2017. Poverty line is absolute.",1,1
"Source: Ministry of Finance and Economic Development (MoFED): Ethiopia: Building on Progress, A Plan for Accelerated and Sustained Development to End Poverty (PASDEP), Volume I: Main Text. Poverty line is absolute. Government estimate.",1,1
"SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/",13,1
SPAR questionaire for IHR Annual reporting same as 2018 and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework),13,1
"Starting end of 2016, and in 2017 our country was under a state of emergency where internet shutdown was implemented this  has shown significant decrease.",4,1
"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",1,1
"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",3,2
The individual is listed as owner/ holder of use rights over the parcel if her/his name is listed in the certificate of the parcel or has the right to sell the parcel.,4,1
The individual is listed as owner/ holder of use rights over the parcel if her/his name is listed in the documents of the parcel or has the right to sell or to has the right to bequeath the parcel.,4,1
The observation represents the 3-year average of the period 2014-2016.,12,1
The observation represents the 3-year average of the period 2015-2017.,12,1
The observation represents the 3-year average of the period 2016-2018.,12,1
The observation represents the 3-year average of the period 2017-2019.,12,1
The observation represents the 3-year average of the period 2018-2020.,12,1
The observation represents the 3-year average of the period 2019-2021.,12,1
Total population is restricted to household head and wife due to data limitations.,2,1
Unclear definition of the cadres included,2,1
Very Low Confidence,2,1
WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,13,1
Year-end value for installed capacity (watts) and mid-year for population ,12,2
