Value,Disaggregation combinations using this value,Number of indicators
Ethiopian Fifth National Learning Assessment. Percentage of students who scored 50% and above. Grade 8. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,1,1
"Ethiopian Public Health Institute (EPHI) [Ethiopia] and ICF. 2019. Ethiopia Mini Demographic and



Health Survey 2019: Key Indicators. Rockville, Maryland, USA: EPHI and ICF.",1,1
Ethiopian Telecommunication Agency.,1,1
Ethiopian Telecommunication Agency,1,1
Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,2,2
FAO calculation based on UNSD national account estimates,1,1
FAO calculation based on WB national account data,1,1
FAO Estimate based on data from FAOSTAT for year 2010,1,1
FAO estimate based on FAOSTAT data from 2019,1,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO-WIEWS (http://www.fao.org/wiews),4,1
FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,1,1
Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,3,1
Household Income and Consumption Ethiopian Survey 2015-2016- World Bank SSAPOV serie,2,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,2,1
"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",3,1
IFC 2000 Annual Report Volume 2,4,2
IFC 2005 Annual Report Volume 2,4,2
IFC 2010 Annual Report Volume 2,4,2
IFC 2015 Annual Report Volume 2,4,2
IFC 2016 Annual Report Volume 2,4,2
IFC 2017 Annual Report Volume 2,4,2
IFC 2018 Annual Report Volume 2,4,2
IFC 2019 Annual Report Volume 2,4,2
IFC 2020 Annual Report Volume 2,4,2
IFC 2021 Annual Report Volume 2,4,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,16,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,41,1
IMF Annual Report 2000,4,2
IMF Annual Report 2005,4,2
IMF Annual Report 2010,4,2
IMF Annual Report 2015,4,2
IMF Annual Report 2016,4,2
IMF Annual Report 2017,4,2
IMF Annual Report 2018,4,2
IMF Annual Report 2019,4,2
IMF Annual Report 2020,4,2
IMF Annual Report 2021,4,2
IMF data and FAO Imputation. UNSD national account estimates,1,1
IMF data and FAO Imputation.,1,1
IMF data. UNSD national account estimates,2,1
IMF data.,2,1
"Inter-Parliamentary Union (IPU), Parline Database",3,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",2,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",1,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",1,1
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",4,2
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, Financial Soundness Indicators.",1,1
"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and data files.",4,1
"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1,1
ITPGRFA Secretariat ,4,1
ITU estimate.,5,3
ITU research.,1,1
Ministry of Communication and InformationTechnology.,1,1
Ministry of Communications and Information Technology,12,3
"National Labor Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 01 April 2022.",1,1
"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",1,1
"Poverty and Inequality Portal, World Bank",8,1
Report of the Economic and Social Council on its 2019 Session (A/74/3),4,2
Report of the Economic and Social Council on its 2020 Session (A/75/3/Rev.1),4,2
Report of the Security Council for 2017 (A/72/2),4,2
Report of the Security Council for 2018 (A/73/2),4,2
Sixth National Learning Assessment.  Grade 4 (English). MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,1,1
Sixth National Learning Assessment.  Grade 4. MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,1,1
Sixth National Learning Assessment. Grade 8 (English). MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,1,1
Sixth National Learning Assessment. Grade 8. MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,1,1
Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),17,1
"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",9,1
"Source: Joint Child Malnutrition Estimates (2021 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",37,1
the International Transport Forum at the OECD (ITF-OECD),5,1
The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,4,2
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,26,2
"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",1,1
"Welfare Monitoring Survey 2004. Statistical Report on Basic Population Characteristics, Education, Health, Nutritional Status and Child Care. Statistical bulletin. Addis Ababa: Central Statistical Authority, Ethiopia; 2004.",1,1
"World Bank, International Debt Statistics.",1,1
"World Bank national accounts data, and OECD National Accounts data files.",6,1
World Environment Situation Room,1,1
"World Trade Organization, and World Bank GDP estimates.",1,1
