Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Unit of measure,Observation-level footnotes,Value
2015,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",152.0
2016,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",212.0
2017,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",212.0
2018,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",212.0
2019,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",212.0
2020,Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",212.0
2021,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",212.0
2022,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",195.0
2021,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",547.0
2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year",470.0
