Year,SDG Series,Sex,Age,Unit of measure,Value
2013,Infant deaths (number) [3.2.1],,under 1 year old,Number,153408.0
2014,Infant deaths (number) [3.2.1],,under 1 year old,Number,148951.0
2015,Infant deaths (number) [3.2.1],,under 1 year old,Number,144651.0
2016,Infant deaths (number) [3.2.1],,under 1 year old,Number,140339.0
2017,Infant deaths (number) [3.2.1],,under 1 year old,Number,136197.0
2018,Infant deaths (number) [3.2.1],,under 1 year old,Number,132502.0
2019,Infant deaths (number) [3.2.1],,under 1 year old,Number,129345.0
2020,Infant deaths (number) [3.2.1],,under 1 year old,Number,126555.0
2000,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,107045.0
2001,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,103784.0
2002,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,100154.0
2003,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,96124.0
2004,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,91901.0
2005,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,87693.0
2006,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,83711.0
2007,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,80021.0
2008,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,76628.0
2009,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,73770.0
2010,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,71157.0
2011,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,68827.0
2012,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,66599.0
2013,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,64483.0
2014,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,62593.0
2015,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,60756.0
2016,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,58932.0
2017,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,57245.0
2018,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,55670.0
2019,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,54371.0
2020,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,53201.0
2000,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,140451.0
2001,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,136936.0
2002,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,132684.0
2003,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,127944.0
2004,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,123031.0
2005,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,117984.0
2006,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,113184.0
2007,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,108736.0
2008,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,104728.0
2009,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,100932.0
2010,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,97606.0
2011,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,94511.0
2012,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,91645.0
2013,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,88925.0
2014,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,86358.0
2015,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,83895.0
2016,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,81407.0
2017,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,78952.0
2018,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,76832.0
2019,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,74974.0
2020,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,73354.0
2000,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",140.7
2001,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",134.6
2002,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",128.3
2003,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",121.8
2004,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",115.3
2005,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",108.9
2006,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",102.8
2007,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",97.0
2008,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",91.6
2009,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",86.7
2010,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",82.0
2011,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",77.7
2012,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",73.5
2013,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",69.6
2014,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",65.9
2015,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",62.4
2016,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",59.0
2017,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",55.9
2018,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",53.2
2019,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",50.8
2020,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",48.7
2000,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",129.6
2001,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",123.8
2002,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",117.7
2003,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",111.6
2004,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",105.4
2005,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",99.2
2006,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",93.4
2007,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",88.0
2008,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",82.9
2009,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",78.3
2010,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",73.9
2011,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",69.8
2012,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",65.9
2013,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",62.2
2014,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",58.8
2015,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",55.5
2016,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",52.4
2017,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",49.6
2018,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",47.0
2019,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",44.8
2020,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",42.9
2000,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",151.1
2001,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",144.7
2002,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",138.2
2003,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",131.5
2004,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",124.7
2005,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",118.0
2006,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",111.6
2007,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",105.5
2008,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",99.9
2009,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",94.7
2010,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",89.7
2011,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",85.1
2012,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",80.7
2013,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",76.6
2014,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",72.6
2015,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",68.8
2016,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",65.3
2017,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",61.9
2018,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",59.0
2019,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",56.4
2020,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",54.2
2000,Under-five deaths (number) [3.2.1],,under 5 years old,Number,393626.0
2001,Under-five deaths (number) [3.2.1],,under 5 years old,Number,381944.0
2002,Under-five deaths (number) [3.2.1],,under 5 years old,Number,368321.0
2003,Under-five deaths (number) [3.2.1],,under 5 years old,Number,352987.0
2004,Under-five deaths (number) [3.2.1],,under 5 years old,Number,336842.0
2005,Under-five deaths (number) [3.2.1],,under 5 years old,Number,320343.0
2006,Under-five deaths (number) [3.2.1],,under 5 years old,Number,304580.0
2007,Under-five deaths (number) [3.2.1],,under 5 years old,Number,289742.0
2008,Under-five deaths (number) [3.2.1],,under 5 years old,Number,276151.0
2009,Under-five deaths (number) [3.2.1],,under 5 years old,Number,263805.0
2010,Under-five deaths (number) [3.2.1],,under 5 years old,Number,252584.0
2011,Under-five deaths (number) [3.2.1],,under 5 years old,Number,242197.0
2012,Under-five deaths (number) [3.2.1],,under 5 years old,Number,232491.0
2013,Under-five deaths (number) [3.2.1],,under 5 years old,Number,223392.0
2014,Under-five deaths (number) [3.2.1],,under 5 years old,Number,214710.0
2015,Under-five deaths (number) [3.2.1],,under 5 years old,Number,206430.0
2016,Under-five deaths (number) [3.2.1],,under 5 years old,Number,198370.0
2017,Under-five deaths (number) [3.2.1],,under 5 years old,Number,190695.0
2018,Under-five deaths (number) [3.2.1],,under 5 years old,Number,183873.0
2019,Under-five deaths (number) [3.2.1],,under 5 years old,Number,178034.0
2020,Under-five deaths (number) [3.2.1],,under 5 years old,Number,172889.0
2000,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,177957.0
2001,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,172413.0
2002,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,165901.0
2003,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,158703.0
2004,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,151085.0
2005,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,143348.0
2006,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,135901.0
2007,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,129009.0
2008,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,122613.0
2009,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,116908.0
2010,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,111715.0
2011,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,106820.0
2012,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,102254.0
2013,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,97946.0
2014,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,94028.0
2015,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,90169.0
2016,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,86363.0
2017,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,82948.0
2018,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,79819.0
2019,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,77158.0
2020,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,74796.0
2000,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,215669.0
2001,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,209531.0
2002,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,202420.0
2003,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,194284.0
2004,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,185757.0
2005,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,176995.0
2006,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,168679.0
2007,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,160733.0
2008,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,153538.0
2009,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,146897.0
2010,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,140869.0
2011,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,135377.0
2012,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,130237.0
2013,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,125446.0
2014,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,120682.0
2015,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,116261.0
2016,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,112007.0
2017,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,107747.0
2018,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,104054.0
2019,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,100876.0
2020,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,98093.0
