Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
1991,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
1992,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.00162
1993,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.03963
1994,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.24841
1995,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.1845
1996,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.25655
1997,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,3.35875
1998,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,3.33413
1999,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.90873
2000,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,1.63351
2001,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,4.24476
2002,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,3.24807
2003,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,5.39212
2004,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,5.38042
2005,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,2.1378
2006,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,3.56824
2007,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,1.12647
2008,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.401
2009,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.68273
2010,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.96303
2011,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,1.96736
2012,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,0.64317
2013,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,2.82041
2014,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,3.33569
2015,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,4.06649
2016,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,5.57621
2017,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,4.91271
2018,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,3.98771
2019,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,2.65736
2020,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,Obs_Value = 0;  ,2.22565
1981,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,25.16884
1982,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,42.59766
1983,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,44.95004
1984,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,52.27866
1985,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,55.17182
1986,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,62.58766
1987,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,70.39485
1988,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,71.16158
1989,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,68.93135
1990,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,71.40028
1991,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,68.21006
1992,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,89.70534
1993,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,111.25497
1994,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,147.18132
1995,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,135.77945
1996,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,118.66561
1997,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,118.82127
