Year,SDG Series,Degree of urbanisation,Value
2015,Proportion of population using basic drinking water services [1.4.1],Urban,82
2016,Proportion of population using basic drinking water services [1.4.1],Urban,82
2017,Proportion of population using basic drinking water services [1.4.1],Urban,83
2018,Proportion of population using basic drinking water services [1.4.1],Urban,83
2019,Proportion of population using basic drinking water services [1.4.1],Urban,84
2020,Proportion of population using basic drinking water services [1.4.1],Urban,84
2000,Proportion of population using basic sanitation services [1.4.1],,3
2001,Proportion of population using basic sanitation services [1.4.1],,3
2002,Proportion of population using basic sanitation services [1.4.1],,3
2003,Proportion of population using basic sanitation services [1.4.1],,4
2004,Proportion of population using basic sanitation services [1.4.1],,4
2005,Proportion of population using basic sanitation services [1.4.1],,4
2006,Proportion of population using basic sanitation services [1.4.1],,5
2007,Proportion of population using basic sanitation services [1.4.1],,5
2008,Proportion of population using basic sanitation services [1.4.1],,5
2009,Proportion of population using basic sanitation services [1.4.1],,6
2010,Proportion of population using basic sanitation services [1.4.1],,6
2011,Proportion of population using basic sanitation services [1.4.1],,6
2012,Proportion of population using basic sanitation services [1.4.1],,7
2013,Proportion of population using basic sanitation services [1.4.1],,7
2014,Proportion of population using basic sanitation services [1.4.1],,7
2015,Proportion of population using basic sanitation services [1.4.1],,7
2016,Proportion of population using basic sanitation services [1.4.1],,8
2017,Proportion of population using basic sanitation services [1.4.1],,8
2018,Proportion of population using basic sanitation services [1.4.1],,8
2019,Proportion of population using basic sanitation services [1.4.1],,9
2020,Proportion of population using basic sanitation services [1.4.1],,9
2000,Proportion of population using basic sanitation services [1.4.1],Rural,1
2001,Proportion of population using basic sanitation services [1.4.1],Rural,1
2002,Proportion of population using basic sanitation services [1.4.1],Rural,1
2003,Proportion of population using basic sanitation services [1.4.1],Rural,2
2004,Proportion of population using basic sanitation services [1.4.1],Rural,2
2005,Proportion of population using basic sanitation services [1.4.1],Rural,2
2006,Proportion of population using basic sanitation services [1.4.1],Rural,2
2007,Proportion of population using basic sanitation services [1.4.1],Rural,3
2008,Proportion of population using basic sanitation services [1.4.1],Rural,3
2009,Proportion of population using basic sanitation services [1.4.1],Rural,3
2010,Proportion of population using basic sanitation services [1.4.1],Rural,3
2011,Proportion of population using basic sanitation services [1.4.1],Rural,4
2012,Proportion of population using basic sanitation services [1.4.1],Rural,4
2013,Proportion of population using basic sanitation services [1.4.1],Rural,4
2014,Proportion of population using basic sanitation services [1.4.1],Rural,4
2015,Proportion of population using basic sanitation services [1.4.1],Rural,5
2016,Proportion of population using basic sanitation services [1.4.1],Rural,5
2017,Proportion of population using basic sanitation services [1.4.1],Rural,5
2018,Proportion of population using basic sanitation services [1.4.1],Rural,5
2019,Proportion of population using basic sanitation services [1.4.1],Rural,5
2020,Proportion of population using basic sanitation services [1.4.1],Rural,5
2000,Proportion of population using basic sanitation services [1.4.1],Urban,15
2001,Proportion of population using basic sanitation services [1.4.1],Urban,16
2002,Proportion of population using basic sanitation services [1.4.1],Urban,16
2003,Proportion of population using basic sanitation services [1.4.1],Urban,16
2004,Proportion of population using basic sanitation services [1.4.1],Urban,16
2005,Proportion of population using basic sanitation services [1.4.1],Urban,17
2006,Proportion of population using basic sanitation services [1.4.1],Urban,17
2007,Proportion of population using basic sanitation services [1.4.1],Urban,17
2008,Proportion of population using basic sanitation services [1.4.1],Urban,18
2009,Proportion of population using basic sanitation services [1.4.1],Urban,18
2010,Proportion of population using basic sanitation services [1.4.1],Urban,18
2011,Proportion of population using basic sanitation services [1.4.1],Urban,19
2012,Proportion of population using basic sanitation services [1.4.1],Urban,19
2013,Proportion of population using basic sanitation services [1.4.1],Urban,19
2014,Proportion of population using basic sanitation services [1.4.1],Urban,19
2015,Proportion of population using basic sanitation services [1.4.1],Urban,20
2016,Proportion of population using basic sanitation services [1.4.1],Urban,20
2017,Proportion of population using basic sanitation services [1.4.1],Urban,20
2018,Proportion of population using basic sanitation services [1.4.1],Urban,21
2019,Proportion of population using basic sanitation services [1.4.1],Urban,21
2020,Proportion of population using basic sanitation services [1.4.1],Urban,21
