Year,SDG Series,Composite breakdown,Unit of measure,Value
2009,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00557
2010,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00557
2011,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00558
2012,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00561
2013,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00563
2014,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00564
2015,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00566
2016,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00569
2017,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00569
2018,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00569
2019,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.0057
2020,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.0057
2021,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00572
2006,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,-0.59593
2007,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,1.08201
2008,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,8.99506
2009,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,14.41804
2010,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,16.44701
2011,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,25.06511
2012,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,27.62227
2013,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,25.7642
2014,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,31.11836
2015,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,37.83899
2016,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,36.87405
2017,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,44.48653
2018,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,54.27903
2019,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,57.13084
2020,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,65.63698
2021,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,98.33825
2000,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,571.55245
2001,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,653.4309
2002,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,876.78148
2003,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1046.05033
2004,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1018.81249
2005,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1005.16488
2006,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,999.17481
2007,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1016.04087
2008,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1095.58008
2009,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1150.08995
2010,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1170.48442
2011,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1257.11055
2012,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1282.81424
2013,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1264.13753
2014,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1317.9557
2015,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1385.50912
2016,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1375.8099
2017,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1452.32781
2018,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1550.75859
2019,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1579.42399
2020,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1664.92478
2021,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,1993.62643
2000,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00057
2001,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00065
2002,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00088
2003,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00105
2004,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.0009
2005,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00089
2006,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00089
2007,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.0009
2008,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00097
2009,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00102
2010,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00104
2011,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00111
2012,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00114
2013,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00112
2014,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00117
2015,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00123
2016,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00122
2017,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00129
2018,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00137
2019,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.0014
2020,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00148
2021,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,0.00177
2017,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,14.2547
2018,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,12.38131
2019,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,14.69358
2020,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,12.66567
2017,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,7.046
2018,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,6.56726
2019,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,6.50473
2020,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,5.8175
2017,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,69.82563
2018,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,74.71051
2019,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,74.31822
2020,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,77.78734
2017,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,8.87367
2018,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,6.34093
2019,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,4.48347
2020,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,3.7295
2017,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,0.78392
2018,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,0.68251
2019,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,0.8194
2020,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,1.01515
2017,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,1.04548
2018,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,1.18099
2019,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,0.90933
2020,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,2.7819
2017,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,95.20856
2018,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,94.37898
2019,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,95.91412
2020,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,91.63602
2017,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,2.96204
2018,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,3.75753
2019,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,2.35714
2020,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,4.56693
2000,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,203.42336
2001,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,205.314
2002,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,274.30991
2003,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,342.46902
2004,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,347.0422
2005,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,348.59826
2006,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,349.80816
2007,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,351.98082
2008,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,354.13486
2009,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,355.95641
2010,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,376.12349
2011,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,402.31213
2012,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,431.54482
2013,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,461.95579
2014,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,489.30849
2015,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,503.00129
2016,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,492.21231
2017,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,503.51966
2018,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,536.72279
2019,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,571.7691
2020,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,609.29752
2021,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,678.28537
2000,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.0002
2001,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00021
2002,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00027
2003,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00034
2004,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00031
2005,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00031
2006,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00031
2007,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00031
2008,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00031
2009,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00032
2010,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00033
2011,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00036
2012,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00038
2013,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00041
2014,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00043
2015,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00045
2016,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00044
2017,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00045
2018,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00048
2019,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00051
2020,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.00054
2021,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,0.0006
2000,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,328.86077
2001,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,338.04904
2002,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,453.01027
2003,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,569.07623
2004,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,583.83707
2005,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,579.32284
2006,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,572.49934
2007,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,570.75328
2008,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,585.84035
2009,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,607.76348
2010,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,647.55642
2011,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,714.58485
2012,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,766.73277
2013,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,816.17856
2014,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,862.7832
2015,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,898.89759
2016,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,929.29155
2017,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,988.91031
2018,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,1034.53005
2019,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,1068.91138
2020,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,1104.2017
2021,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,1127.49484
2000,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00033
2001,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00034
2002,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00045
2003,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00057
2004,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00052
2005,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00051
2006,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00051
2007,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00051
2008,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00052
2009,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00054
2010,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00057
2011,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00063
2012,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00068
2013,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00072
2014,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00076
2015,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.0008
2016,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00082
2017,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00088
2018,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00092
2019,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00095
2020,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.00098
2021,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,0.001
2017,Wetlands area (square kilometres) [6.6.1],,Square kilometers,32008.51
2017,Wetlands area (% of total land area) [6.6.1],,Percent,2.83
