Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2018,0,The observation represents the 3-year average of the period 2017-2019.,62.7,53.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.7,54,58.3
2019,0,The observation represents the 3-year average of the period 2018-2020.,61.5,53.4,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.7,54,57.4
2020,0,The observation represents the 3-year average of the period 2019-2021.,60.7,54,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.7,54,57.3
2015,3,The observation represents the 3-year average of the period 2014-2016.,60228.1,53179.7,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,69280.1,60056.5,56703.9
2016,3,The observation represents the 3-year average of the period 2015-2017.,63909.4,56918.2,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,69280.1,60056.5,60413.8
2017,3,The observation represents the 3-year average of the period 2016-2018.,67201.1,59252.4,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,69280.1,60056.5,63226.7
2018,3,The observation represents the 3-year average of the period 2017-2019.,67094.8,59405.2,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,69280.1,60056.5,63250.0
2019,3,The observation represents the 3-year average of the period 2018-2020.,67551.8,58767.8,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,69280.1,60056.5,63159.8
2020,3,The observation represents the 3-year average of the period 2019-2021.,69280.1,60056.5,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,69280.1,60056.5,64668.3
2015,3,The observation represents the 3-year average of the period 2014-2016.,17464.8,15056.9,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,20109.4,17807.3,16260.9
2016,3,The observation represents the 3-year average of the period 2015-2017.,18068.8,15652.6,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,20109.4,17807.3,16860.7
2017,3,The observation represents the 3-year average of the period 2016-2018.,18417,15798.2,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,20109.4,17807.3,17107.6
2018,3,The observation represents the 3-year average of the period 2017-2019.,18306.4,15736.1,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,20109.4,17807.3,17021.2
2019,3,The observation represents the 3-year average of the period 2018-2020.,18955.7,16458.5,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,20109.4,17807.3,17707.1
2020,3,The observation represents the 3-year average of the period 2019-2021.,20109.4,17807.3,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,20109.4,17807.3,18958.3
2015,3,The observation represents the 3-year average of the period 2014-2016.,16642.2,13945.8,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,20789.1,18495.4,15294.0
2016,3,The observation represents the 3-year average of the period 2015-2017.,18276.7,15563.8,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,20789.1,18495.4,16920.2
2017,3,The observation represents the 3-year average of the period 2016-2018.,19886.6,16903.4,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,20789.1,18495.4,18395.0
2018,3,The observation represents the 3-year average of the period 2017-2019.,20118.5,17287.9,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,20789.1,18495.4,18703.2
2019,3,The observation represents the 3-year average of the period 2018-2020.,20389.4,17715.4,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,20789.1,18495.4,19052.4
2020,3,The observation represents the 3-year average of the period 2019-2021.,20789.1,18495.4,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,20789.1,18495.4,19642.2
2015,0,The observation represents the 3-year average of the period 2014-2016.,16.6,12.4,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,22.4,16.9,14.5
2016,0,The observation represents the 3-year average of the period 2015-2017.,17.3,12.7,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,22.4,16.9,15.0
2017,0,The observation represents the 3-year average of the period 2016-2018.,17.1,12.5,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,22.4,16.9,14.8
2018,0,The observation represents the 3-year average of the period 2017-2019.,16.3,12,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,22.4,16.9,14.1
2019,0,The observation represents the 3-year average of the period 2018-2020.,18.8,14.1,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,22.4,16.9,16.4
2020,0,The observation represents the 3-year average of the period 2019-2021.,22.4,16.9,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,22.4,16.9,19.6
2015,0,The observation represents the 3-year average of the period 2014-2016.,17.5,12.2,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.2,11.9,14.8
2016,0,The observation represents the 3-year average of the period 2015-2017.,17.1,11.7,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.2,11.9,14.4
2017,0,The observation represents the 3-year average of the period 2016-2018.,15.5,10.4,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.2,11.9,13.0
2018,0,The observation represents the 3-year average of the period 2017-2019.,14.5,9.7,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.2,11.9,12.1
2019,0,The observation represents the 3-year average of the period 2018-2020.,14.8,10.4,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.2,11.9,12.6
2020,0,The observation represents the 3-year average of the period 2019-2021.,16.2,11.9,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.2,11.9,14.0
2015,0,The observation represents the 3-year average of the period 2014-2016.,14.6,9.1,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,15.5,11.5,11.8
2016,0,The observation represents the 3-year average of the period 2015-2017.,16.1,10,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,15.5,11.5,13.1
2017,0,The observation represents the 3-year average of the period 2016-2018.,17.3,11.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,15.5,11.5,14.3
2018,0,The observation represents the 3-year average of the period 2017-2019.,16.4,10.9,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,15.5,11.5,13.7
2019,0,The observation represents the 3-year average of the period 2018-2020.,15.6,11,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,15.5,11.5,13.3
2020,0,The observation represents the 3-year average of the period 2019-2021.,15.5,11.5,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,15.5,11.5,13.5
2015,3,The observation represents the 3-year average of the period 2014-2016.,16789.4,12515.1,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,25779.9,19387.5,14652.3
2016,3,The observation represents the 3-year average of the period 2015-2017.,17944.8,13191.8,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,25779.9,19387.5,15568.3
2017,3,The observation represents the 3-year average of the period 2016-2018.,18161.2,13308.8,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,25779.9,19387.5,15735.0
2018,3,The observation represents the 3-year average of the period 2017-2019.,17768.7,13122.2,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,25779.9,19387.5,15445.4
2019,3,The observation represents the 3-year average of the period 2018-2020.,21096.2,15746.8,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,25779.9,19387.5,18421.5
2020,3,The observation represents the 3-year average of the period 2019-2021.,25779.9,19387.5,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,25779.9,19387.5,22583.7
2015,3,The observation represents the 3-year average of the period 2014-2016.,5142.1,3581.5,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,5622.2,4139.2,4361.8
2016,3,The observation represents the 3-year average of the period 2015-2017.,5193.8,3565.9,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,5622.2,4139.2,4379.9
2017,3,The observation represents the 3-year average of the period 2016-2018.,4886.2,3291.4,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,5622.2,4139.2,4088.8
2018,3,The observation represents the 3-year average of the period 2017-2019.,4711.4,3155.6,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,5622.2,4139.2,3933.5
2019,3,The observation represents the 3-year average of the period 2018-2020.,4986.8,3502.8,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,5622.2,4139.2,4244.8
2020,3,The observation represents the 3-year average of the period 2019-2021.,5622.2,4139.2,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,5622.2,4139.2,4880.7
2015,3,The observation represents the 3-year average of the period 2014-2016.,4221.2,2618.6,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,5306.8,3923.9,3419.9
2016,3,The observation represents the 3-year average of the period 2015-2017.,4832.5,2996,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,5306.8,3923.9,3914.3
2017,3,The observation represents the 3-year average of the period 2016-2018.,5372.3,3470.6,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,5306.8,3923.9,4421.4
2018,3,The observation represents the 3-year average of the period 2017-2019.,5265.3,3508.4,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,5306.8,3923.9,4386.8
2019,3,The observation represents the 3-year average of the period 2018-2020.,5158.5,3653.6,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,5306.8,3923.9,4406.1
2020,3,The observation represents the 3-year average of the period 2019-2021.,5306.8,3923.9,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,5306.8,3923.9,4615.3
