Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Income or wealth quantile,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,3.9
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,3.5
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,4.3
2004,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.51447
2010,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,13.24795
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,21.10348
2018,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,20.70626
2004,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.59521
2010,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,16.21031
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,21.22641
2018,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,30.01391
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,2.36835
2018,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,1.25352
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.3385
2018,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.08964
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Obs_Value = 0;  No unemployment protection programme anchored in national legislation,Obs_Value = 0;  No unemployment protection programme anchored in national legislation,0.0
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Obs_Value = 0;  No unemployment protection programme anchored in national legislation,Obs_Value = 0;  No unemployment protection programme anchored in national legislation,0.0
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Obs_Value = 0;  No unemployment protection programme anchored in national legislation,Obs_Value = 0;  No unemployment protection programme anchored in national legislation,0.0
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,8.0
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,3.2
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of employed population covered in the event of work injury [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,7.8
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of employed population covered in the event of work injury [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,5.7
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of employed population covered in the event of work injury [1.3.1],Male,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,9.7
