Year,SDG Series,Type of product,Unit of measure,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.63352
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.65542
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.66652
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.70153
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.74963
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.77754
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.75373
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.74606
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.70706
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.72148
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.24656
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.30111
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.45755
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.37861
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.35796
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.39117
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.45073
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.56413
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.58221
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.58979
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.62615
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.54632
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.55392
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.56258
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.57633
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.56777
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.57595
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.57596
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.56818
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.57081
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.90941
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.89684
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.8844
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.87714
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.86579
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.85471
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.84203
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.83091
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.81964
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.80799
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.79681
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.78448
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.77226
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.76107
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.74981
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.73858
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.72671
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.7151
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.70425
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.69457
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00024
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00023
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00018
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00013
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00014
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00013
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00013
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00017
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00021
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.0002
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00021
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00027
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00031
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00041
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00052
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00046
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00048
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00053
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00052
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00055
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01347
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.0176
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02183
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01871
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01557
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02623
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.01867
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02022
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02012
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.0224
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02683
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.04063
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.04351
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03918
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.03935
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.04005
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.04175
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02936
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.02422
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.0251
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00247
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00375
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.0039
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00554
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00433
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.0132
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00626
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00796
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00735
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00923
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00688
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00916
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.01121
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.01102
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.01349
