Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Type of product,Nature of data points,Observation-level footnotes,Source details,Value
2017," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Wheat,Global monitoring data," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.3
2018," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Wheat,Global monitoring data," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,1.3
2019," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Wheat,Global monitoring data," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.1
2020," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Wheat,Global monitoring data," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,-0.48
2021," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Wheat,Global monitoring data," Addis Ababa, Wheat (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.87
2015," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,-0.4
2016," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.1
2017," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.7
2018," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,-0.1
2019," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.3
2020," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.04
2021," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Maize,Global monitoring data," Addis Ababa, Maize, Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.8
2015," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,-0.3
2016," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.3
2017," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,-0.5
2018," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.9
2019," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.6
2020," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.23
2021," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,Indicator of Food Price Anomalies (IFPA) [2.c.1],Sorghum,Global monitoring data," Addis Ababa, Sorghum (white), Wholesale price",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,0.13
