Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Observation status,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2001,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.97
2002,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Consolidated Central Government Expenditure Excluding Social Security Funds,Obs_Value = NaN;  NaN = A figure was not provided,6.44
2003,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.98
2004,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.97
2005,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,15.93
2006,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,20.31
2007,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,18.03
2008,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,13.49
2009,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,16.37
2010,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,17.11
2011,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,16.3
2012,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,15.39
2013,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,6.64
2014,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,7.19
2015,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,7.19
2016,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,8.63
2017,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,8.81
2018,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.55
2019,A,C,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.52
