Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2016,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1411.99409
2017,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1136.49757
2018,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",2459.31496
2019,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",905.20654
2020,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1626.7087
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",495.53086
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",489.38961
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",537.52385
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1011.2173
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",547.64724
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",609.18067
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",566.15061
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",835.16091
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",777.89141
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",812.24668
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",981.34727
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",968.29055
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1711.06198
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1360.79201
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1597.2257
